Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.99534e-05,0.08,0.02
-4.99524e-05,0.04,0.02
-4.99514e-05,0.04,0.02
-4.99504e-05,0.04,0.02
-4.99494e-05,0.04,0.06
-4.99484e-05,0.04,0.06
-4.99474e-05,0.08,0.06
-4.99464e-05,0.08,0.06
-4.99454e-05,0.12,0.02
-4.99444e-05,0.08,0.02
-4.99434e-05,0.08,-0.02
-4.99424e-05,0,-0.02
-4.99414e-05,0,-0.06
-4.99404e-05,0,-0.02
-4.99394e-05,0.04,0.02
-4.99384e-05,0.08,0.06
-4.99374e-05,0.08,0.1
-4.99364e-05,0.12,0.1
-4.99354e-05,0.12,0.1
-4.99344e-05,0.12,0.06
-4.99334e-05,0.08,-0.02
-4.99324e-05,0.04,-0.06
-4.99314e-05,0.04,-0.06
-4.99304e-05,0.04,-0.02
-4.99294e-05,0.04,0.02
-4.99284e-05,0.08,0.1
-4.99274e-05,0.08,0.1
-4.99264e-05,0.08,0.1
-4.99254e-05,0.08,0.1
-4.99244e-05,0.08,0.06
-4.99234e-05,0.04,-0.02
-4.99224e-05,0.04,-0.02
-4.99214e-05,0.04,-0.06
-4.99204e-05,0.04,-0.02
-4.99194e-05,0.04,0.02
-4.99184e-05,0.08,0.06
-4.99174e-05,0.08,0.1
-4.99164e-05,0.08,0.14
-4.99154e-05,0.08,0.1
-4.99144e-05,0.08,0.06
-4.99134e-05,0.08,0.02
-4.99124e-05,0.04,-0.02
-4.99114e-05,0.04,-0.06
-4.99104e-05,0.04,-0.02
-4.99094e-05,0.04,-0.02
-4.99084e-05,0.04,0.06
-4.99074e-05,0.08,0.06
-4.99064e-05,0.08,0.06
-4.99054e-05,0.08,0.06
-4.99044e-05,0.04,0.02
-4.99034e-05,0.04,0.02
-4.99024e-05,0.04,-0.02
-4.99014e-05,0.04,-0.02
-4.99004e-05,0.04,0.02
-4.98994e-05,0.08,0.02
-4.98984e-05,0.08,0.06
-4.98974e-05,0.08,0.06
-4.98964e-05,0.08,0.06
-4.98954e-05,0.08,0.06
-4.98944e-05,0.08,0.02
-4.98934e-05,0.04,0.02
-4.98924e-05,0.04,0.02
-4.98914e-05,0.04,0.02
-4.98904e-05,0.08,0.02
-4.98894e-05,0.12,0.06
-4.98884e-05,0.08,0.06
-4.98874e-05,0.08,0.06
-4.98864e-05,0.04,0.06
-4.98854e-05,0.08,0.02
-4.98844e-05,0.04,0.02
-4.98834e-05,0.08,-0.02
-4.98824e-05,0.04,0.02
-4.98814e-05,0.08,0.06
-4.98804e-05,0.08,0.06
-4.98794e-05,0.08,0.06
-4.98784e-05,0.08,0.06
-4.98774e-05,0.08,0.02
-4.98764e-05,0.08,0.02
-4.98754e-05,0.08,-0.02
-4.98744e-05,0.04,-0.02
-4.98734e-05,0.04,-0.02
-4.98724e-05,0.04,0.02
-4.98714e-05,0.08,0.06
-4.98704e-05,0.08,0.06
-4.98694e-05,0.08,0.06
-4.98684e-05,0.08,0.06
-4.98674e-05,0.08,0.02
-4.98664e-05,0.08,-0.02
-4.98654e-05,0.08,-0.02
-4.98644e-05,0.04,-0.02
-4.98634e-05,0.04,0.02
-4.98624e-05,0.04,0.02
-4.98614e-05,0.08,0.06
-4.98604e-05,0.08,0.06
-4.98594e-05,0.12,0.06
-4.98584e-05,0.08,0.06
-4.98574e-05,0.08,0.02
-4.98564e-05,0.04,0.02
-4.98554e-05,0.04,-0.02
-4.98544e-05,0.04,0.02
-4.98534e-05,0.04,0.02
-4.98524e-05,0.04,0.02
-4.98514e-05,0.08,0.06
-4.98504e-05,0.08,0.06
-4.98494e-05,0.08,0.06
-4.98484e-05,0.08,0.06
-4.98474e-05,0.08,0.02
-4.98464e-05,0.08,0.02
-4.98454e-05,0.08,-0.02
-4.98444e-05,0.04,0.02
-4.98434e-05,0.08,-0.02
-4.98424e-05,0.04,0.02
-4.98414e-05,0.08,0.02
-4.98404e-05,0.04,0.02
-4.98394e-05,0.08,0.02
-4.98384e-05,0.08,0.02
-4.98374e-05,0.08,0.02
-4.98364e-05,0.08,0.02
-4.98354e-05,0.08,0.02
-4.98344e-05,0.04,0.02
-4.98334e-05,0.04,0.02
-4.98324e-05,0.04,0.02
-4.98314e-05,0.08,-0.02
-4.98304e-05,0.08,0.02
-4.98294e-05,0.08,0.02
-4.98284e-05,0.08,0.02
-4.98274e-05,0.08,0.02
-4.98264e-05,0.08,0.06
-4.98254e-05,0.08,0.06
-4.98244e-05,0.08,0.06
-4.98234e-05,0.08,0.02
-4.98224e-05,0.04,0.02
-4.98214e-05,0.08,0.02
-4.98204e-05,0.04,0.02
-4.98194e-05,0.08,0.02
-4.98184e-05,0.04,0.02
-4.98174e-05,0.08,0.02
-4.98164e-05,0.04,0.06
-4.98154e-05,0.08,0.06
-4.98144e-05,0.04,0.06
-4.98134e-05,0.08,0.06
-4.98124e-05,0.04,0.02
-4.98114e-05,0.04,-0.02
-4.98104e-05,0.04,-0.02
-4.98094e-05,0.04,-0.02
-4.98084e-05,0.04,0.02
-4.98074e-05,0.08,0.02
-4.98064e-05,0.08,0.06
-4.98054e-05,0.08,0.06
-4.98044e-05,0.08,0.06
-4.98034e-05,0.08,0.06
-4.98024e-05,0.04,0.02
-4.98014e-05,0.04,0.02
-4.98004e-05,0.04,-0.02
-4.97994e-05,0.08,-0.02
-4.97984e-05,0.08,0.02
-4.97974e-05,0.08,0.02
-4.97964e-05,0.08,0.06
-4.97954e-05,0.08,0.06
-4.97944e-05,0.08,0.06
-4.97934e-05,0.12,0.02
-4.97924e-05,0.08,0.02
-4.97914e-05,0.08,0.02
-4.97904e-05,0.04,-0.02
-4.97894e-05,0.08,0.02
-4.97884e-05,0.04,0.02
-4.97874e-05,0.08,0.02
-4.97864e-05,0.04,0.06
-4.97854e-05,0.08,0.02
-4.97844e-05,0.08,0.06
-4.97834e-05,0.08,0.02
-4.97824e-05,0.08,-0.02
-4.97814e-05,0.08,-0.02
-4.97804e-05,0.04,0.02
-4.97794e-05,0.08,0.06
-4.97784e-05,0.04,0.06
-4.97774e-05,0.08,0.06
-4.97764e-05,0.04,0.06
-4.97754e-05,0.08,0.06
-4.97744e-05,0.08,0.02
-4.97734e-05,0.04,-0.02
-4.97724e-05,0.04,0.02
-4.97714e-05,0.04,-0.02
-4.97704e-05,0.04,0.02
-4.97694e-05,0.08,0.06
-4.97684e-05,0.08,0.1
-4.97674e-05,0.08,0.06
-4.97664e-05,0.08,0.06
-4.97654e-05,0.08,0.02
-4.97644e-05,0.04,-0.02
-4.97634e-05,0.08,-0.02
-4.97624e-05,0.08,-0.02
