Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.99076e-05,0.08,0.06
-4.99066e-05,0.08,0.06
-4.99056e-05,0.08,0.06
-4.99046e-05,0.08,0.06
-4.99036e-05,0.08,0.02
-4.99026e-05,0.08,-0.02
-4.99016e-05,0.08,-0.02
-4.99006e-05,0.04,-0.02
-4.98996e-05,0.04,-0.02
-4.98986e-05,0.04,0.06
-4.98976e-05,0.08,0.06
-4.98966e-05,0.08,0.1
-4.98956e-05,0.12,0.1
-4.98946e-05,0.12,0.06
-4.98936e-05,0.12,0.02
-4.98926e-05,0.08,0.02
-4.98916e-05,0.04,-0.02
-4.98906e-05,0.04,-0.02
-4.98896e-05,0.04,-0.02
-4.98886e-05,0.04,0.02
-4.98876e-05,0.04,0.06
-4.98866e-05,0.08,0.1
-4.98856e-05,0.12,0.1
-4.98846e-05,0.12,0.06
-4.98836e-05,0.12,0.06
-4.98826e-05,0.08,0.02
-4.98816e-05,0.04,-0.02
-4.98806e-05,0,-0.06
-4.98796e-05,0,-0.02
-4.98786e-05,0.04,0.02
-4.98776e-05,0.04,0.06
-4.98766e-05,0.08,0.1
-4.98756e-05,0.08,0.14
-4.98746e-05,0.08,0.1
-4.98736e-05,0.08,0.06
-4.98726e-05,0.08,0.06
-4.98716e-05,0.04,0.02
-4.98706e-05,0,-0.02
-4.98696e-05,0.04,-0.02
-4.98686e-05,0.04,0.02
-4.98676e-05,0.04,0.02
-4.98666e-05,0.04,0.1
-4.98656e-05,0.04,0.1
-4.98646e-05,0.08,0.1
-4.98636e-05,0.08,0.06
-4.98626e-05,0.08,0.06
-4.98616e-05,0.08,0.02
-4.98606e-05,0.04,-0.02
-4.98596e-05,0.04,-0.02
-4.98586e-05,0.04,0.02
-4.98576e-05,0.04,0.02
-4.98566e-05,0.04,0.1
-4.98556e-05,0.08,0.1
-4.98546e-05,0.12,0.1
-4.98536e-05,0.08,0.1
-4.98526e-05,0.08,0.06
-4.98516e-05,0.04,0.02
-4.98506e-05,0.04,0.02
-4.98496e-05,0.04,-0.02
-4.98486e-05,0.04,-0.02
-4.98476e-05,0.04,0.02
-4.98466e-05,0.04,0.06
-4.98456e-05,0.04,0.06
-4.98446e-05,0.04,0.06
-4.98436e-05,0.08,0.06
-4.98426e-05,0.04,0.06
-4.98416e-05,0.08,0.06
-4.98406e-05,0.04,0.06
-4.98396e-05,0.04,0.02
-4.98386e-05,0.04,0.02
-4.98376e-05,0.04,0.02
-4.98366e-05,0.04,0.02
-4.98356e-05,0.04,0.02
-4.98346e-05,0.04,0.06
-4.98336e-05,0.04,0.02
-4.98326e-05,0.04,0.06
-4.98316e-05,0.08,0.02
-4.98306e-05,0.04,0.06
-4.98296e-05,0.08,0.02
-4.98286e-05,0.04,0.06
-4.98276e-05,0.08,0.02
-4.98266e-05,0.08,0.02
-4.98256e-05,0.08,-0.02
-4.98246e-05,0.08,0.02
-4.98236e-05,0.08,0.02
-4.98226e-05,0.08,0.06
-4.98216e-05,0.08,0.06
-4.98206e-05,0.08,0.1
-4.98196e-05,0.08,0.06
-4.98186e-05,0.08,0.06
-4.98176e-05,0.08,0.02
-4.98166e-05,0.08,0.02
-4.98156e-05,0.04,-0.02
-4.98146e-05,0.04,0.02
-4.98136e-05,0.04,0.02
-4.98126e-05,0.04,0.06
-4.98116e-05,0.08,0.06
-4.98106e-05,0.08,0.1
-4.98096e-05,0.08,0.06
-4.98086e-05,0.08,0.06
-4.98076e-05,0.08,0.02
-4.98066e-05,0.04,0.02
-4.98056e-05,0.04,-0.02
-4.98046e-05,0.04,-0.02
-4.98036e-05,0.04,0.02
-4.98026e-05,0.04,0.06
-4.98016e-05,0.04,0.06
-4.98006e-05,0.08,0.06
-4.97996e-05,0.08,0.06
-4.97986e-05,0.08,0.06
-4.97976e-05,0.08,0.02
-4.97966e-05,0.04,0.02
-4.97956e-05,0.04,0.02
-4.97946e-05,0.04,0.02
-4.97936e-05,0.04,0.02
-4.97926e-05,0.04,0.06
-4.97916e-05,0.08,0.06
-4.97906e-05,0.08,0.06
-4.97896e-05,0.08,0.06
-4.97886e-05,0.08,0.06
-4.97876e-05,0.04,0.02
-4.97866e-05,0.04,0.02
-4.97856e-05,0.04,0.02
-4.97846e-05,0.04,0.02
-4.97836e-05,0.04,0.02
-4.97826e-05,0.04,0.02
-4.97816e-05,0.04,0.02
-4.97806e-05,0.04,0.06
-4.97796e-05,0.04,0.02
-4.97786e-05,0.08,0.02
-4.97776e-05,0.08,0.02
-4.97766e-05,0.08,0.02
-4.97756e-05,0.08,0.02
-4.97746e-05,0.04,0.06
-4.97736e-05,0.04,0.06
-4.97726e-05,0.04,0.06
-4.97716e-05,0.04,0.06
-4.97706e-05,0.08,0.06
-4.97696e-05,0.04,0.02
-4.97686e-05,0.04,0.06
-4.97676e-05,0.04,0.02
-4.97666e-05,0.04,0.06
-4.97656e-05,0.08,0.06
-4.97646e-05,0.08,0.06
-4.97636e-05,0.08,0.02
-4.97626e-05,0.08,0.02
-4.97616e-05,0.04,0.02
-4.97606e-05,0.04,0.02
-4.97596e-05,0.04,0.02
-4.97586e-05,0.04,0.06
-4.97576e-05,0.04,0.06
-4.97566e-05,0.04,0.06
-4.97556e-05,0.08,0.06
-4.97546e-05,0.08,0.06
-4.97536e-05,0.08,0.06
-4.97526e-05,0.04,0.02
-4.97516e-05,0.04,-0.02
-4.97506e-05,0.04,-0.02
-4.97496e-05,0.04,0.02
-4.97486e-05,0.04,0.02
-4.97476e-05,0.08,0.06
-4.97466e-05,0.08,0.06
-4.97456e-05,0.08,0.06
-4.97446e-05,0.08,0.06
-4.97436e-05,0.08,0.06
-4.97426e-05,0.08,0.02
-4.97416e-05,0.04,0.02
-4.97406e-05,0,-0.02
-4.97396e-05,0.04,0.02
-4.97386e-05,0,0.02
-4.97376e-05,0.04,0.06
-4.97366e-05,0.04,0.06
-4.97356e-05,0.08,0.06
-4.97346e-05,0.12,0.06
-4.97336e-05,0.12,0.02
-4.97326e-05,0.08,-0.02
-4.97316e-05,0.04,-0.02
-4.97306e-05,0.04,-0.02
-4.97296e-05,0.04,0.02
-4.97286e-05,0.04,0.02
-4.97276e-05,0.04,0.06
-4.97266e-05,0.04,0.1
-4.97256e-05,0.08,0.06
-4.97246e-05,0.08,0.06
-4.97236e-05,0.08,0.02
-4.97226e-05,0.08,-0.02
-4.97216e-05,0.04,-0.06
-4.97206e-05,0.04,-0.02
-4.97196e-05,0.04,-0.02
-4.97186e-05,0.04,0.02
-4.97176e-05,0.08,0.06
-4.97166e-05,0.08,0.1
-4.97156e-05,0.08,0.1
