Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.99778e-05,0.08,0.06
-4.99768e-05,0.08,0.06
-4.99758e-05,0.08,0.06
-4.99748e-05,0.04,0.06
-4.99738e-05,0.04,0.06
-4.99728e-05,0,0.02
-4.99718e-05,0,0.02
-4.99708e-05,0.04,-0.02
-4.99698e-05,0.04,0.02
-4.99688e-05,0.08,0.02
-4.99678e-05,0.08,0.06
-4.99668e-05,0.08,0.06
-4.99658e-05,0.08,0.06
-4.99648e-05,0.04,0.06
-4.99638e-05,0.04,0.06
-4.99628e-05,0,0.02
-4.99618e-05,0,0.02
-4.99608e-05,0,-0.02
-4.99598e-05,0.04,-0.02
-4.99588e-05,0.08,0.02
-4.99578e-05,0.08,0.02
-4.99568e-05,0.12,0.06
-4.99558e-05,0.12,0.06
-4.99548e-05,0.08,0.06
-4.99538e-05,0,0.06
-4.99528e-05,0,0.06
-4.99518e-05,0,0.02
-4.99508e-05,0.04,0.02
-4.99498e-05,0.08,0.02
-4.99488e-05,0.08,0.02
-4.99478e-05,0.12,0.02
-4.99468e-05,0.08,0.02
-4.99458e-05,0.08,0.06
-4.99448e-05,0.08,0.06
-4.99438e-05,0.04,0.06
-4.99428e-05,0,0.06
-4.99418e-05,0,0.06
-4.99408e-05,0,0.06
-4.99398e-05,0.04,0.06
-4.99388e-05,0.04,0.06
-4.99378e-05,0.08,0.06
-4.99368e-05,0.08,0.06
-4.99358e-05,0.08,0.06
-4.99348e-05,0.08,0.02
-4.99338e-05,0.04,0.02
-4.99328e-05,0,0.02
-4.99318e-05,0.04,0.06
-4.99308e-05,0.04,0.06
-4.99298e-05,0.04,0.06
-4.99288e-05,0.08,0.06
-4.99278e-05,0.08,0.06
-4.99268e-05,0.08,0.06
-4.99258e-05,0.08,0.02
-4.99248e-05,0.08,0.02
-4.99238e-05,0.08,0.02
-4.99228e-05,0.04,0.02
-4.99218e-05,0.04,0.02
-4.99208e-05,0.04,0.06
-4.99198e-05,0.04,0.06
-4.99188e-05,0.04,0.06
-4.99178e-05,0.04,0.06
-4.99168e-05,0.04,0.02
-4.99158e-05,0.04,0.02
-4.99148e-05,0.04,0.02
-4.99138e-05,0.08,0.02
-4.99128e-05,0.04,0.02
-4.99118e-05,0.04,0.06
-4.99108e-05,0.04,0.06
-4.99098e-05,0.04,0.06
-4.99088e-05,0.04,0.06
-4.99078e-05,0.04,0.06
-4.99068e-05,0.04,0.06
-4.99058e-05,0.08,0.02
-4.99048e-05,0.08,0.02
-4.99038e-05,0.08,0.02
-4.99028e-05,0.08,0.02
-4.99018e-05,0.08,0.02
-4.99008e-05,0.08,0.02
-4.98998e-05,0.08,0.06
-4.98988e-05,0.04,0.1
-4.98978e-05,0.04,0.1
-4.98968e-05,0.04,0.06
-4.98958e-05,0.04,0.06
-4.98948e-05,0.04,0.02
-4.98938e-05,0.08,0.02
-4.98928e-05,0.12,0.02
-4.98918e-05,0.08,0.02
-4.98908e-05,0.08,0.02
-4.98898e-05,0.08,0.06
-4.98888e-05,0.04,0.06
-4.98878e-05,0.04,0.06
-4.98868e-05,0.04,0.06
-4.98858e-05,0.04,0.06
-4.98848e-05,0.04,0.02
-4.98838e-05,0.08,0.02
-4.98828e-05,0.08,0.02
-4.98818e-05,0.08,-0.02
-4.98808e-05,0.08,0.02
-4.98798e-05,0.08,0.02
-4.98788e-05,0.04,0.02
-4.98778e-05,0.04,0.06
-4.98768e-05,0,0.06
-4.98758e-05,0.04,0.06
-4.98748e-05,0.04,0.06
-4.98738e-05,0.08,0.06
-4.98728e-05,0.12,0.02
-4.98718e-05,0.08,0.02
-4.98708e-05,0.08,0.02
-4.98698e-05,0.08,0.02
-4.98688e-05,0.04,0.02
-4.98678e-05,0.04,0.02
-4.98668e-05,0.04,0.02
-4.98658e-05,0.04,0.06
-4.98648e-05,0.04,0.06
-4.98638e-05,0.08,0.02
-4.98628e-05,0.08,0.02
-4.98618e-05,0.08,0.02
-4.98608e-05,0.08,0.02
-4.98598e-05,0.08,0.02
-4.98588e-05,0.04,-0.02
-4.98578e-05,0.04,0.02
-4.98568e-05,0.04,0.02
-4.98558e-05,0.04,0.02
-4.98548e-05,0.04,0.06
-4.98538e-05,0.04,0.06
-4.98528e-05,0.04,0.06
-4.98518e-05,0.08,0.02
-4.98508e-05,0.08,0.02
-4.98498e-05,0.08,0.02
-4.98488e-05,0.08,0.02
-4.98478e-05,0.08,0.02
-4.98468e-05,0.04,0.02
-4.98458e-05,0.04,0.02
-4.98448e-05,0,0.06
-4.98438e-05,0.04,0.02
-4.98428e-05,0.04,0.02
-4.98418e-05,0.08,0.02
-4.98408e-05,0.08,0.02
-4.98398e-05,0.12,0.06
-4.98388e-05,0.08,0.02
-4.98378e-05,0.08,0.02
-4.98368e-05,0.04,0.02
-4.98358e-05,0.04,0.02
-4.98348e-05,0,0.02
-4.98338e-05,0,0.02
-4.98328e-05,0,0.02
-4.98318e-05,0.08,0.02
-4.98308e-05,0.12,0.02
-4.98298e-05,0.16,0.02
-4.98288e-05,0.12,0.02
-4.98278e-05,0.12,0.02
-4.98268e-05,0.04,0.02
-4.98258e-05,0.04,0.02
-4.98248e-05,0,0.02
-4.98238e-05,0,0.02
-4.98228e-05,0,0.06
-4.98218e-05,0.08,0.06
-4.98208e-05,0.08,0.06
-4.98198e-05,0.12,0.06
-4.98188e-05,0.12,0.06
-4.98178e-05,0.08,0.02
-4.98168e-05,0.08,0.02
-4.98158e-05,0.04,0.02
-4.98148e-05,0,0.02
-4.98138e-05,0,0.02
-4.98128e-05,0.04,0.02
-4.98118e-05,0.04,0.06
-4.98108e-05,0.04,0.1
-4.98098e-05,0.12,0.06
-4.98088e-05,0.12,0.06
-4.98078e-05,0.12,0.06
-4.98068e-05,0.08,0.02
-4.98058e-05,0.04,-0.02
-4.98048e-05,0,-0.02
-4.98038e-05,0,-0.02
-4.98028e-05,0,-0.02
-4.98018e-05,0.04,0.02
-4.98008e-05,0.08,0.06
-4.97998e-05,0.08,0.06
-4.97988e-05,0.12,0.06
-4.97978e-05,0.08,0.06
-4.97968e-05,0.08,0.02
-4.97958e-05,0.04,0.02
-4.97948e-05,0.04,0.02
-4.97938e-05,0.04,0.02
-4.97928e-05,0.04,0.02
-4.97918e-05,0.08,0.02
-4.97908e-05,0.08,0.06
-4.97898e-05,0.08,0.06
-4.97888e-05,0.04,0.06
-4.97878e-05,0.08,0.06
-4.97868e-05,0.04,0.02
-4.97858e-05,0.08,0.02
-4.97848e-05,0.04,-0.02
-4.97838e-05,0.08,0.02
-4.97828e-05,0.08,0.02
-4.97818e-05,0.08,0.06
