NI VB-8012;;;;;
Configuration;;;;;
;Device;;;;;
;;Name;Serial Number;Firmware;;;
;;VB8012-30F688F;30F688F;16.1.0f0;;;;;
MIXED SIGNAL OSCILLOSCOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DIGITAL MULTIMETER;;;;;;DIGITAL I/O;;;;;;;;;;
Configuration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Configuration;;;;;;Configuration;;;;;;;;;;
;Analog;;;;;;;;;;;Digital;;;;;Trigger;;;;;;;;;Acquisition;;;;Analog;;;;;;Digital;;;;;;;;;;
;;Name;Alias;Channel Coupling;Bandwidth Limit;Input Impedance;Probe Attenuation;Volts Per Division;Vertical Offset (V);ΔT (ns);;;Name;Alias;ΔT (ns);;;Type;Delay (s);Reason;Edge;Source;Level (V);Hysteresis;;;Mode;;;;Name;Measurement Mode;Null Offset;;;;Name;Direction;;;;;;;;;
;;1;PPS direct;DC;Full Bandwidth;1 MΩ;10X;1 V/;-3,000000;2,0000;;;D1;PPS feedback;1,0000;;;Edge;00,000;Triggered;Rising;PPS direct (1);2,00;Noise Reject;;;Sample;;;;DMM;Continuity;Off;;;;0;Input;;;;;;;;;;;
;;2;PPS feedback;DC;Full Bandwidth;1 MΩ;10X;1 V/;-2,000000;2,0000;;;D0;PPS direct;1,0000;;;;;;;;;;;;;;;;;;;;;;1;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;Input;;;;;;;;;;;
MIXED SIGNAL OSCILLOSCOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DIGITAL MULTIMETER;;;;;;DIGITAL I/O;;;;;;;;;;
