Time,Channel A,Channel B
(ns),(V),(V)

-51.80043431,0.00000000,-0.03890871
-51.55043431,-0.00015379,-0.03598671
-51.30043432,0.00000000,-0.03060408
-51.05043433,0.00000000,-0.02352977
-50.80043434,0.00000000,-0.01599409
-50.55043434,0.00000000,-0.00891978
-50.30043435,0.00000000,-0.00338337
-50.05043436,0.00000000,-0.00030758
-49.80043436,0.00000000,-0.00030758
-49.55043437,0.00000000,-0.00338337
-49.30043438,0.00000000,-0.00891978
-49.05043439,0.00000000,-0.01599409
-48.80043439,0.00000000,-0.02352977
-48.55043440,0.00000000,-0.03060408
-48.30043441,0.00000000,-0.03583292
-48.05043441,0.00000000,-0.03875492
-47.80043442,0.00000000,-0.03890871
-47.55043443,0.00000000,-0.03660187
-47.30043443,0.00000000,-0.03183440
-47.05043444,0.00000000,-0.02583661
-46.80043445,0.00000000,-0.01906988
-46.55043446,0.00000000,-0.01230315
-46.30043446,0.00000000,-0.00645915
-46.05043447,0.00000000,-0.00169168
-45.80043448,0.00000000,0.00138410
-45.55043448,0.00000000,0.00307579
-45.30043449,0.00000000,0.00353716
-45.05043450,0.00000000,0.00307579
-44.80043451,0.00000000,0.00230684
-44.55043451,0.00000000,0.00123032
-44.30043452,0.00000000,0.00046137
-44.05043453,0.00000000,0.00000000
-43.80043453,0.00000000,0.00000000
-43.55043454,0.00000000,0.00046137
-43.30043455,0.00000000,0.00123032
-43.05043455,0.00000000,0.00230684
-42.80043456,0.00000000,0.00307579
-42.55043457,0.00000000,0.00338337
-42.30043458,0.00000000,0.00292200
-42.05043458,0.00000000,0.00138410
-41.80043459,0.00000000,-0.00169168
-41.55043460,0.00000000,-0.00584400
-41.30043460,0.00000000,-0.01091904
-41.05043461,0.00000000,-0.01676304
-40.80043462,0.00000000,-0.02276083
-40.55043463,0.00000000,-0.02845103
-40.30043463,0.00000000,-0.03352608
-40.05043464,0.00000000,-0.03752461
-39.80043465,0.00000000,-0.04060039
-39.55043465,0.00000000,-0.04229207
-39.30043466,0.00000000,-0.04290723
-39.05043467,0.00000000,-0.04259966
-38.80043467,0.00000000,-0.04183071
-38.55043468,0.00000000,-0.04075418
-38.30043469,0.00000000,-0.03983144
-38.05043470,0.00000000,-0.03921629
-37.80043470,0.00000000,-0.03921629
-37.55043471,0.00000000,-0.03983144
-37.30043472,0.00000000,-0.04075418
-37.05043472,0.00000000,-0.04183071
-36.80043473,0.00000000,-0.04259966
-36.55043474,0.00000000,-0.04290723
-36.30043475,0.00000000,-0.04229207
-36.05043475,0.00000000,-0.04060039
-35.80043476,0.00000000,-0.03752461
-35.55043477,0.00000000,-0.03352608
-35.30043477,0.00000000,-0.02845103
-35.05043478,0.00000000,-0.02276083
-34.80043479,0.00000000,-0.01676304
-34.55043480,0.00000000,-0.01091904
-34.30043480,0.00000000,-0.00584400
-34.05043481,0.00000000,-0.00169168
-33.80043482,0.00000000,0.00138410
-33.55043482,0.00000000,0.00292200
-33.30043483,0.00000000,0.00338337
-33.05043484,0.00000000,0.00307579
-32.80043484,0.00000000,0.00230684
-32.55043485,0.00000000,0.00123032
-32.30043486,0.00000000,0.00046137
-32.05043487,0.00000000,0.00000000
-31.80043487,0.00000000,0.00000000
-31.55043488,0.00000000,0.00046137
-31.30043489,0.00000000,0.00123032
-31.05043489,0.00000000,0.00230684
-30.80043490,0.00000000,0.00307579
-30.55043491,0.00000000,0.00338337
-30.30043492,0.00000000,0.00292200
-30.05043492,0.00000000,0.00138410
-29.80043493,0.00000000,-0.00169168
-29.55043494,0.00000000,-0.00584400
-29.30043494,0.00000000,-0.01091904
-29.05043495,0.00000000,-0.01676304
-28.80043496,0.00000000,-0.02276083
-28.55043496,0.00000000,-0.02845103
-28.30043497,0.00000000,-0.03337229
-28.05043498,0.00000000,-0.03752461
-27.80043499,0.00000000,-0.04060039
-27.55043499,0.00000000,-0.04290723
-27.30043500,0.00000000,-0.04413754
-27.05043501,0.00000000,-0.04490650
-26.80043501,0.00000000,-0.04490650
-26.55043502,0.00000000,-0.04413754
-26.30043503,0.00000000,-0.04290723
-26.05043504,0.00000000,-0.04060039
-25.80043504,0.00000000,-0.03752461
-25.55043505,0.00000000,-0.03337229
-25.30043506,0.00000000,-0.02845103
-25.05043506,0.00000000,-0.02276083
-24.80043507,0.00000000,-0.01676304
-24.55043508,0.00000000,-0.01091904
-24.30043509,-0.00015379,-0.00584400
-24.05043509,0.00000000,-0.00169168
-23.80043510,0.00015379,0.00138410
-23.55043511,0.00061516,0.00292200
-23.30043511,0.00138410,0.00338337
-23.05043512,0.00230684,0.00307579
-22.80043513,0.00307579,0.00230684
-22.55043513,0.00353716,0.00138410
-22.30043514,0.00307579,0.00061516
-22.05043515,0.00138410,0.00015379
-21.80043516,-0.00169168,0.00000000
-21.55043516,-0.00645915,-0.00015379
-21.30043517,-0.01230315,0.00000000
-21.05043518,-0.01906988,0.00000000
-20.80043518,-0.02583661,0.00000000
-20.55043519,-0.03183440,0.00000000
-20.30043520,-0.03660187,0.00000000
-20.05043521,-0.03890871,0.00000000
-19.80043521,-0.03875492,0.00000000
-19.55043522,-0.03583292,0.00000000
-19.30043523,-0.03060408,0.00000000
-19.05043523,-0.02352977,0.00000000
-18.80043524,-0.01599409,0.00000000
-18.55043525,-0.00891978,0.00000000
-18.30043525,-0.00338337,0.00000000
-18.05043526,-0.00030758,0.00000000
-17.80043527,-0.00030758,0.00000000
-17.55043528,-0.00338337,0.00000000
-17.30043528,-0.00891978,0.00000000
-17.05043529,-0.01599409,0.00000000
-16.80043530,-0.02352977,0.00000000
-16.55043530,-0.03060408,0.00000000
-16.30043531,-0.03583292,-0.00015379
-16.05043532,-0.03875492,0.00000000
-15.80043533,-0.03890871,0.00015379
-15.55043533,-0.03660187,0.00061516
-15.30043534,-0.03183440,0.00138410
-15.05043535,-0.02583661,0.00230684
-14.80043535,-0.01906988,0.00307579
-14.55043536,-0.01230315,0.00353716
-14.30043537,-0.00645915,0.00307579
-14.05043537,-0.00169168,0.00138410
-13.80043538,0.00138410,-0.00169168
-13.55043539,0.00307579,-0.00645915
-13.30043540,0.00353716,-0.01230315
-13.05043540,0.00307579,-0.01906988
-12.80043541,0.00230684,-0.02583661
-12.55043542,0.00138410,-0.03183440
-12.30043542,0.00061516,-0.03660187
-12.05043543,0.00015379,-0.03890871
-11.80043544,0.00000000,-0.03875492
-11.55043545,-0.00015379,-0.03583292
-11.30043545,0.00000000,-0.03060408
-11.05043546,0.00000000,-0.02352977
-10.80043547,0.00000000,-0.01599409
-10.55043547,0.00000000,-0.00891978
-10.30043548,0.00000000,-0.00338337
-10.05043549,0.00000000,-0.00030758
-9.80043550,0.00000000,-0.00030758
-9.55043550,0.00000000,-0.00338337
-9.30043551,0.00000000,-0.00891978
-9.05043552,0.00000000,-0.01599409
-8.80043552,0.00000000,-0.02352977
-8.55043553,0.00000000,-0.03060408
-8.30043554,0.00000000,-0.03598671
-8.05043554,0.00000000,-0.03890871
-7.80043555,0.00000000,-0.03890871
-7.55043556,0.00000000,-0.03598671
-7.30043557,0.00000000,-0.03060408
-7.05043557,0.00000000,-0.02352977
-6.80043558,0.00000000,-0.01599409
-6.55043559,0.00030758,-0.00891978
-6.30043559,0.00092274,-0.00338337
-6.05043560,0.00076895,-0.00030758
-5.80043561,-0.00153789,-0.00030758
-5.55043562,-0.00707431,-0.00338337
-5.30043562,-0.01599409,-0.00891978
-5.05043563,-0.02691314,-0.01599409
-4.80043564,-0.03690945,-0.02352977
-4.55043564,-0.04013903,-0.03060408
-4.30043565,-0.03198819,-0.03598671
-4.05043566,-0.01276452,-0.03890871
-3.80043566,0.01414862,-0.03890871
-3.55043567,0.04444513,-0.03598671
-3.30043568,0.07474163,-0.03060408
-3.05043569,0.10519190,-0.02352977
-2.80043569,0.14071730,-0.01599409
-2.55043570,0.19408220,-0.00891978
-2.30043571,0.27774360,-0.00338337
-2.05043571,0.39739170,-0.00030758
-1.80043572,0.55195000,-0.00030758
-1.55043573,0.73526690,-0.00338337
-1.30043574,0.93796130,-0.00891978
-1.05043574,1.15034400,-0.01599409
-0.80043575,1.36534200,-0.02352977
-0.55043576,1.58418400,-0.03060408
-0.30043576,1.80948600,-0.03598671
-0.05043577,2.04032400,-0.03890871
0.19956422,2.27285300,-0.03890871
0.44956421,2.50169200,-0.03598671
0.69956421,2.72038000,-0.03060408
0.94956420,2.92292100,-0.02352977
1.19956419,3.10562300,-0.01599409
1.44956419,3.27017700,-0.00891978
1.69956418,3.41873800,-0.00338337
1.94956417,3.54961300,-0.00046137
2.19956417,3.65926400,-0.00030758
