Time,Channel A,Channel B
(ns),(V),(V)

-103.38225650,0.00199926,-0.00230684
-102.88225652,0.00153789,-0.00322958
-102.38225653,-0.00153789,-0.00153789
-101.88225655,-0.00199926,-0.00030758
-101.38225656,0.00369095,0.00000000
-100.88225658,0.01537894,0.00000000
-100.38225659,0.02891240,0.00000000
-99.88225660,0.03783219,0.00000000
-99.38225662,0.03783219,0.00000000
-98.88225663,0.02891240,0.00000000
-98.38225665,0.01537894,0.00000000
-97.88225666,0.00369095,0.00000000
-97.38225667,-0.00199926,0.00000000
-96.88225669,-0.00153789,0.00000000
-96.38225670,0.00153789,0.00000000
-95.88225672,0.00199926,0.00000000
-95.38225673,-0.00369095,0.00000000
-94.88225674,-0.01537894,0.00000000
-94.38225676,-0.02891240,0.00000000
-93.88225677,-0.03783219,0.00000000
-93.38225679,-0.03783219,0.00000000
-92.88225680,-0.02891240,0.00000000
-92.38225682,-0.01537894,0.00000000
-91.88225683,-0.00384473,0.00000000
-91.38225684,0.00230684,0.00000000
-90.88225686,0.00322958,0.00000000
-90.38225687,0.00153789,0.00000000
-89.88225689,0.00030758,0.00000000
-89.38225690,0.00000000,0.00000000
-88.88225691,0.00000000,0.00000000
-88.38225693,0.00000000,0.00000000
-87.88225694,0.00000000,0.00000000
-87.38225696,0.00000000,0.00000000
-86.88225697,0.00000000,0.00000000
-86.38225699,0.00000000,0.00000000
-85.88225700,0.00000000,0.00000000
-85.38225701,0.00000000,0.00000000
-84.88225703,0.00000000,0.00000000
-84.38225704,0.00000000,0.00000000
-83.88225706,0.00000000,0.00000000
-83.38225707,0.00000000,0.00000000
-82.88225708,0.00000000,0.00000000
-82.38225710,0.00000000,0.00000000
-81.88225711,0.00000000,0.00000000
-81.38225713,0.00000000,0.00000000
-80.88225714,0.00000000,0.00000000
-80.38225715,0.00000000,0.00000000
-79.88225717,0.00000000,0.00000000
-79.38225718,0.00000000,0.00000000
-78.88225720,0.00000000,0.00000000
-78.38225721,0.00000000,0.00000000
-77.88225723,0.00000000,0.00000000
-77.38225724,0.00000000,0.00000000
-76.88225725,0.00000000,0.00000000
-76.38225727,0.00000000,0.00000000
-75.88225728,0.00000000,0.00000000
-75.38225730,0.00000000,0.00000000
-74.88225731,0.00000000,0.00000000
-74.38225732,0.00000000,0.00000000
-73.88225734,0.00000000,0.00000000
-73.38225735,0.00000000,0.00000000
-72.88225737,0.00000000,0.00000000
-72.38225738,0.00000000,0.00000000
-71.88225740,0.00000000,0.00000000
-71.38225741,0.00000000,0.00000000
-70.88225742,0.00000000,0.00000000
-70.38225744,0.00000000,0.00000000
-69.88225745,0.00000000,0.00000000
-69.38225747,0.00000000,0.00000000
-68.88225748,0.00000000,0.00000000
-68.38225749,0.00000000,0.00000000
-67.88225751,0.00000000,0.00000000
-67.38225752,0.00000000,0.00000000
-66.88225754,0.00000000,0.00000000
-66.38225755,0.00000000,0.00000000
-65.88225756,0.00000000,0.00000000
-65.38225758,0.00000000,0.00000000
-64.88225759,0.00000000,0.00000000
-64.38225761,0.00000000,0.00000000
-63.88225762,0.00000000,0.00000000
-63.38225764,0.00000000,0.00000000
-62.88225765,0.00000000,0.00000000
-62.38225766,0.00000000,0.00000000
-61.88225768,0.00000000,0.00000000
-61.38225769,0.00000000,0.00000000
-60.88225771,0.00000000,0.00000000
-60.38225772,0.00000000,0.00000000
-59.88225773,0.00000000,0.00000000
-59.38225775,0.00000000,0.00000000
-58.88225776,0.00000000,0.00000000
-58.38225778,0.00000000,0.00000000
-57.88225779,0.00000000,0.00000000
-57.38225781,0.00000000,0.00000000
-56.88225782,0.00000000,0.00000000
-56.38225783,0.00000000,0.00000000
-55.88225785,0.00000000,0.00000000
-55.38225786,-0.00030758,0.00000000
-54.88225788,-0.00153789,0.00000000
-54.38225789,-0.00322958,0.00000000
-53.88225790,-0.00230684,0.00000000
-53.38225792,0.00384473,0.00030758
-52.88225793,0.01537894,0.00153789
-52.38225795,0.02891240,0.00322958
-51.88225796,0.03783219,0.00230684
-51.38225798,0.03783219,-0.00384473
-50.88225799,0.02891240,-0.01537894
-50.38225800,0.01537894,-0.02891240
-49.88225802,0.00369095,-0.03783219
-49.38225803,-0.00199926,-0.03783219
-48.88225805,-0.00153789,-0.02891240
-48.38225806,0.00153789,-0.01537894
-47.88225807,0.00199926,-0.00384473
-47.38225809,-0.00369095,0.00230684
-46.88225810,-0.01537894,0.00322958
-46.38225812,-0.02891240,0.00153789
-45.88225813,-0.03783219,0.00030758
-45.38225814,-0.03783219,0.00000000
-44.88225816,-0.02891240,0.00000000
-44.38225817,-0.01537894,0.00000000
-43.88225819,-0.00384473,0.00000000
-43.38225820,0.00230684,0.00000000
-42.88225822,0.00322958,0.00000000
-42.38225823,0.00153789,0.00000000
-41.88225824,0.00030758,0.00000000
-41.38225826,-0.00030758,0.00000000
-40.88225827,-0.00153789,0.00000000
-40.38225829,-0.00322958,0.00000000
-39.88225830,-0.00230684,0.00000000
-39.38225831,0.00384473,0.00000000
-38.88225833,0.01537894,0.00000000
-38.38225834,0.02891240,0.00000000
-37.88225836,0.03783219,0.00000000
-37.38225837,0.03783219,0.00000000
-36.88225839,0.02891240,0.00000000
-36.38225840,0.01537894,0.00000000
-35.88225841,0.00384473,0.00000000
-35.38225843,-0.00230684,0.00000000
-34.88225844,-0.00322958,0.00000000
-34.38225846,-0.00153789,0.00000000
-33.88225847,-0.00030758,0.00000000
-33.38225848,0.00000000,0.00000000
-32.88225850,0.00000000,0.00000000
-32.38225851,0.00000000,0.00000000
-31.88225853,0.00000000,0.00000000
-31.38225854,0.00000000,0.00000000
-30.88225855,0.00000000,0.00000000
-30.38225857,0.00000000,0.00000000
-29.88225858,0.00000000,0.00000000
-29.38225860,0.00000000,0.00000000
-28.88225861,0.00000000,0.00000000
-28.38225863,0.00000000,0.00000000
-27.88225864,0.00000000,0.00000000
-27.38225865,0.00000000,0.00030758
-26.88225867,0.00000000,0.00153789
-26.38225868,0.00000000,0.00322958
-25.88225870,0.00000000,0.00230684
-25.38225871,0.00000000,-0.00384473
-24.88225872,0.00000000,-0.01537894
-24.38225874,0.00000000,-0.02891240
-23.88225875,0.00000000,-0.03783219
-23.38225877,0.00000000,-0.03783219
-22.88225878,0.00000000,-0.02891240
-22.38225880,0.00000000,-0.01537894
-21.88225881,0.00000000,-0.00384473
-21.38225882,0.00030758,0.00230684
-20.88225884,0.00153789,0.00322958
-20.38225885,0.00322958,0.00153789
-19.88225887,0.00230684,0.00030758
-19.38225888,-0.00384473,0.00000000
-18.88225889,-0.01537894,0.00000000
-18.38225891,-0.02891240,0.00000000
-17.88225892,-0.03783219,0.00000000
-17.38225894,-0.03783219,0.00000000
-16.88225895,-0.02891240,0.00000000
-16.38225896,-0.01537894,0.00000000
-15.88225898,-0.00384473,0.00000000
-15.38225899,0.00230684,0.00000000
-14.88225901,0.00322958,0.00000000
-14.38225902,0.00153789,0.00000000
-13.88225904,0.00030758,0.00000000
-13.38225905,0.00000000,0.00000000
-12.88225906,0.00000000,0.00000000
-12.38225908,0.00000000,0.00000000
-11.88225909,0.00000000,0.00000000
-11.38225911,0.00000000,0.00000000
-10.88225912,0.00000000,0.00000000
-10.38225913,0.00000000,0.00000000
-9.88225915,0.00000000,0.00000000
-9.38225916,0.00000000,0.00000000
-8.88225918,0.00000000,0.00000000
-8.38225919,0.00000000,0.00000000
-7.88225921,0.00000000,0.00000000
-7.38225922,0.00000000,0.00000000
-6.88225923,0.00000000,0.00000000
-6.38225925,0.00000000,0.00000000
-5.88225926,0.00123032,0.00000000
-5.38225928,-0.00507505,0.00000000
-4.88225929,-0.03045030,0.00000000
-4.38225930,-0.05997785,0.00000000
-3.88225932,-0.03967766,0.00000000
-3.38225933,0.05521039,0.00000000
-2.88225935,0.18916090,0.00000000
-2.38225936,0.34279650,0.00000000
-1.88225937,0.57640250,0.00015379
-1.38225939,0.94288260,-0.00076895
-0.88225940,1.40132900,-0.00476747
-0.38225942,1.87177100,-0.00953494
0.11774057,2.32514100,-0.00676673
0.61774055,2.75375200,0.01061147
1.11774054,3.12130900,0.04152313
1.61774053,3.39797600,0.07704847
2.11774051,3.60051700,0.10688360
2.61774050,3.74077300,0.12487700
3.11774048,3.79029300,0.13133610
3.61774047,3.73308300,0.12979820
4.11774046,3.61912500,0.12272390
4.61774044,3.50870500,0.11134350
5.11774043,3.39643800,0.09734868
5.61774041,3.23895800,0.07981668
6.11774040,3.05425700,0.05536418
6.61774038,2.91215500,0.01968504
7.11774037,2.82680200,-0.02691314
7.61774036,2.73945000,-0.07597195
